Acceptor,Donor ,DOI,Voc (V),Jsc (mA/cm^2),FF (%),PCE (%),NFA abs max (solutioN),NFA max abs nm (thin film),NFA opt bg,NFA HOMO,NFA LUMO,donor abs solution,donor abs film,donor opt bg,donor HOMO,donor LUMO
IT-OM-1,PBDB-T,10.1002/aenm.201700183,1.01,12.31,51,6.3,650,668,1.67,-5.5,-3.76,,,,,
IT-OM-2,PBDB-T,10.1002/aenm.201700183,0.93,17.53,73,11.9,678,706,1.59,-5.49,-3.86,,,,,
IT-OM-3,PBDB-T,10.1002/aenm.201700183,0.97,16.38,68,10.8,664,686,1.64,-5.52,-3.8,,,,,
IT-OM-4,PBDB-T,10.1002/aenm.201700183,0.96,14.69,56,7.9,676,688,1.63,-5.49,-3.81,,,,,
ITOTIC-2F,PTB7-Th,10.1002/aenm.201801209,0.785,7,61,3.7,791,809,1.32,-5.22,-4.11,,,,,
ITTC,HFQx-T,10.1039/C7TA02486J,0.88,16.49,71,10.4,,707,1.61,-5.49,-3.85,,,,-5.45,-3.5
ITTIC,PBDB-T,10.1039/C7TA01554B,0.92,15.93,62,9.12,,,,-5.28,-3.82,,,,-5.26,-3.46
ITzN-C9,PBDB-TF,10.1073/pnas.1807535115,1.05,14.12,63.9,9.51,,,,-5.62,-3.78,,,,-5.58,-3.73
IUIC,PTB7-Th,10.1021/acs.chemmater.7b04251,0.796,21.74,64.9,11.2,772,788,1.41,-5.45,-3.87,,,,,
IXIC,PBDB-T,10.1002/aenm.201801203,0.82,20.9,65.4,11.3,751.5,799.5,1.35,-5.13,-3.78,,,,,
IXIC-2Cl,PBDB-T,10.1002/aenm.201801203,0.73,23.6,70.9,12.2,773.5,939,1.3,-5.2,-3.9,,,,,
IXIC-4Cl,PBDB-T,10.1002/aenm.201801203,0.69,22.9,71.2,11.2,789,866,1.25,-5.2,-3.95,,,,,
JC1,P3HT,10.1021/acsami.9b08007,0.48,10.54,56,2.8,723,828,1.3,-5.51,-3.95,,,,-5,-3.1
JC14,P3HT,10.1039/D0TA11306A,0.759,16.04,63,7.72,657,707,1.57,-5.41,-3.63,,,,-5,-3.1
JC2,P3HT,10.1021/acsami.9b08007,0.71,13.96,63,6.24,673,760,1.48,-5.48,-3.73,,,,,
K12,P3HT,10.1002/aenm.201000024,0.62,2.36,49.8,0.73,,,,-6.2,-3.6,,,,-4.7,-2.7
L8-BO,PBDB-TF,10.1038/s41560-021-00820-x,0.87,25.72,81.5,18.32,,,,-5.68,-3.9,,,,,
L8-BO,PBDB-TF,10.1002/ange.202110550,0.89,26.37,79.94,18.77,,,,,,,,,,
LL2,PBDB-T,10.1002/adfm.202103445,0.84,24.24,72.67,14.75,729,809,1.39,-5.58,-3.88,,,,,
LL2-2Cl,PBDB-T,10.1002/adfm.202103445,0.72,26.66,67.1,12.95,745,835,1.35,-5.64,-4.02,,,,,
LL3,PBDB-T,10.1002/adfm.202103445,0.86,26.97,72.27,16.82,753,823,1.37,-5.48,-3.78,,,,,
LL3-2Cl,PBDB-T,10.1002/adfm.202103445,0.79,26.96,67.7,14.4,766,860,1.32,-5.53,-3.92,,,,,
LL4,PBDB-T,10.1002/adfm.202103445,0.82,26.05,70.87,15.18,730,807,1.39,-5.56,-3.82,,,,,
LL4-2Cl,PBDB-T,10.1002/adfm.202103445,0.71,25.36,66.27,11.97,743,,,-5.62,-3.99,,,,,
M1,PBDB-TF,10.1039/D0TA09351C,1.01,14.59,54.68,8.06,726,774,1.44,-5.48,-3.8,,,,-5.5,-3.6
M2,PBDB-TF,10.1093/nsr/nwaa189,0.88,19.76,63.84,11.16,742,797,1.39,-5.6,-3.96,,,,-5.5,-3.6
M34,PBDB-TF,10.1002/anie.202007907,0.91,23.63,70.66,15.24,741,798,1.39,-5.6,-3.91,,,,-5.5,-3.6
M4,PBDB-TF,10.1039/D0TA09351C,0.88,23.44,71.52,14.75,742,798,1.38,-5.61,-3.97,,,,,
m-4TBC-2F,PBDB-T,10.1002/anie.202010856,0.84,7.9,40,2.63,595,606,1.66,-5.68,-4,,,,-5.23,-3.42
M8,PBDB-TF,10.1002/anie.202007907,0.83,8.36,60.59,4.21,780,854,1.28,-5.49,-3.91,,,,,
m-BTP-C6Ph,PTQ10,10.1007/s11426-021-1114-3,0.841,26.95,78.3,17.74,,,,,,,,,,
m-BTP-C6Ph,PTQ10,10.1039/D0EE03506H,0.883,25.3,79.3,17.7,728,806,1.35,-5.59,-3.86,,,,-5.53,-2.81
m-DTC-2Cl,PTQ10,10.1002/adfm.202102361,0.992,16.67,73.42,12.14,,,,-5.65,-3.89,,,,-5.54,-2.98
MeIC,J71,10.1002/adma.201706124,0.918,18.41,74.2,12.54,674,718,1.58,-5.5,-3.41,,,,,
MeIC,PffBT-DPP,10.1021/acs.chemmater.0c02133,0.78,4.5,58,2,,,,-5.93,-4.1,,,,-5.66,-3.56
m-IDTIDT-FIC,J71,10.1039/C8TA11972D,0.92,18.01,68.3,11.32,,,,,,,,,-5.4,-3.24
m-IDTIDT-FIC,PTB7-Th,10.1039/C8TA11972D,0.8,15.68,66.27,8.27,716,743,1.51,-5.47,-3.94,,,,-5.2,-3.6
m-INPOIC,PBDB-T,10.1002/adfm.201903269,0.846,19,66.1,10.6,773,810,1.41,-5.41,-3.97,,,,,
m-ITIC,J52,10.1002/adma.201703344,0.701,17.16,49.73,5.98,,,,,,,,1.96,-5.17,-2.99
m-ITIC,J91,10.1002/adma.201703344,0.98,18.03,65.5,11.63,,,,,,,,2,-5.5,-3.02
m-ITIC,J81,10.1002/aenm.201700746,0.96,16.48,69.8,11.05,,,,,,,,,,
m-ITIC,J70,10.1002/aenm.201702324,0.92,18.09,69.8,11.62,,,,,,,580,1.99,-5.37,-2.91
m-ITIC,J71,10.1002/aenm.201702324,0.94,18.09,70.6,12.05,,,,,,,580,1.96,-5.4,-3.24
m-ITIC,J72,10.1002/aenm.201702324,0.96,16.35,65,10.23,,,,,,,578,1.98,-5.42,-3.29
m-ITIC,J73,10.1002/aenm.201702324,0.97,16.45,66.9,10.71,,,,,,,576,1.98,-5.46,-2.92
m-ITIC,J74,10.1002/aenm.201702324,0.99,15.89,61.2,9.63,,,,,,,526,1.99,-5.56,-3.06
m-ITIC,2TC-TT-BDTFT,10.1021/acs.macromol.8b02360,1.06,15.25,59.31,9.65,,,,,,,,,-5.45,-3.5
m-ITIC,2T-TCC-BDTFT,10.1021/acs.macromol.8b02360,0.97,16.57,69.37,11.15,,,,-5.52,-3.83,,,,-5.41,-3.53
m-ITIC,J61,10.1021/jacs.6b09110,0.91,18.31,71,11.77,,,1.58,-5.52,-3.82,,,,,
m-ITIC,P-4FP,10.1038/s41427-019-0163-5,0.96,15.72,57.66,8.7,,,,,,,,,-5.54,-3.61
m-ITIC,P-FP,10.1039/D1TA04214A,0.995,14.94,60.55,8.86,,,,-5.52,-3.82,,,,-5.54,-3.61
m-ITIC,P-FT,10.1039/D1TA04214A,0.924,17.64,70.1,11.43,,,,,,,,,-5.48,-3.48
m-ITIC,P-CIT,10.1021/acsami.1c00327,0.92,16.7,71.56,11.04,,,,,,,,,-5.5,-3.55
m-ITIC,P-P,10.1021/acsami.1c00327,0.8,16.25,56.29,7.32,,,,-5.52,-3.82,,,,-5.33,-3.39
m-ITIC-OR-4Cl,BO2FC8,10.1039/C8TA11059J,0.83,20.2,63.3,11,,,,-5.78,-4.05,,,,-5.5,-3.6
m-ITIC-OR-4Cl,BO2FEH,10.1039/C8TA11059J,0.88,14.4,48.5,6.4,,,,,,,,,-5.59,-3.59
m-ITTC,J11,10.1021/acs.chemmater.8b05352,0.935,18.05,73,12.32,688,711,1.61,-5.62,-3.89,543,543,1.96,-5.48,-3.23
m-ITTC,J12,10.1021/acs.chemmater.8b05352,0.943,16.64,55.7,8.74,,,,,,548,545,1.94,-5.51,-3.26
MO-IDIC,PTQ10,10.1038/s41467-019-08508-3,0.969,16.92,68.1,11.16,670,,1.6,-5.69,-3.89,,,,-5.54,-2.98
MO-IDIC-2F,PTQ10,10.1038/s41467-019-08508-3,0.906,19.87,74.8,13.46,677,,1.55,-5.8,-3.93,,,,,
MS-4Cl,PBDB-T,10.1002/cssc.202100592,0.81,20.3,71.2,11.79,742,813,1.37,-5.68,-3.99,,,,-5.33,-3.53
MS-4F,PBDB-T,10.1002/cssc.202100592,0.85,19.61,70.59,11.75,727,800,1.41,-5.63,-3.91,,,,,
N10,P3HT,10.1039/C8CC01779D,0.99,12.08,64,7.65,,,,-5.7,-4.15,,,,-5.2,-3.2
N2200,PBBSB,10.1002/aenm.201703291,0.73,7.81,52,3,,,,-5.6,-4,,,,-5.19,-3.63
N2200,PBFSF,10.1002/aenm.201703291,0.83,11.95,61,6,,,,,,,,,-5.27,-3.72
N2200,PTB7-Th,10.1002/solr.202000148,0.79,14.12,55.34,6.26,,,,-5.9,-3.79,,,,-5.18,-3.16
N2200,PFBZ,10.1039/C8TA05376F,0.9,13.5,67,8.1,,,,-5.73,-4.12,,,,-5.36,-3.42
N3,PBDB-TF,10.1016/j.joule.2019.09.010,0.837,25.81,73.9,15.98,,,,,,,,,,
N3,BTR,10.1021/acsaem.1c02534,0.796,22.1,64.49,11.34,,,,,,,,,,
N3,D18,10.1088/1674-4926/42/1/010502,0.86,27.44,78.5,18.56,,,,,,,,,,
N3_srivani,P3HT,10.1039/C7CC03122J,0.87,8.87,60,4.62,,,,-5.87,-3.9,,,,,
N4,P3HT,10.1039/C7CC03122J,0.91,6.69,58,3.52,,,,-6.05,-3.89,,,,,
N65-2FIC,PBDB-T,10.1021/acsaem.0c00689,0.72,19.11,62,8.51,,,,,,,,,-5.28,-3.48
N65-2FIC,PBDB-TF,10.1021/acsaem.0c00689,0.82,21.49,58,10.19,731,786,1.4,-5.6,-4.03,,,,-5.45,-3.65
N65-IC,PBDB-T,10.1021/acsaem.0c00689,0.87,18.94,55,9.03,,,,,,,,,,
N65-IC,PBDB-TF,10.1021/acsaem.0c00689,0.87,15.07,51,6.67,715,748,1.48,-5.52,-3.89,,,,,
N6b,P3HT,10.1039/C4RA09668A,1.08,2.06,52,1.16,,,,-5.06,-3.71,,,,,
N7,P3HT,10.1039/C6RA01558A,1.17,3.16,62,2.3,,,,-5.56,-3.74,,,,-5.2,-3.2
NAI-FN-NAI(BO),P3HT,10.1021/acsami.6b16395,0.88,9.1,45,3.6,411,426,2.13,-6.07,-3.96,,,,-5.2,-3.2
NBDTP,PBDB-T,10.1002/solr.201700165,0.937,15.72,66.4,10.1,,,,-5.66,-3.79,,,,-5.33,-3.16
N-C11,PBDB-TF,10.1016/j.joule.2019.09.010,0.852,21.47,70.6,12.91,,,,,,,,,,
NCBDT,PBDB-T,10.1002/adma.201704904,0.839,20.33,71,12.12,,,,-5.36,-3.89,,,,,
NCBDT-4Cl,PBDB-T-SF,10.1007/s11426-018-9334-9,0.851,22.35,74.3,14.1,,,,-5.6,-4.02,,,,-5.42,-3.64
NCIC,PBDB-TF,10.1016/j.solmat.2021.111046,0.879,17.53,66.7,10.32,,,,,,,,,,
NDI-3TH,P3HT,10.1002/aenm.201100285,0.82,3.51,52,1.5,,,,-5.5,-4.1,,,,-4.9,-3.1
NDICz-6,P3HT,10.1016/j.dyepig.2019.107677,0.94,13.67,59,7.58,,,,-5.91,-4.19,,,,,
NFBDT,PTB7-Th,10.1002/adma.201707508,0.8,14.59,58,6.74,703,731,1.56,-5.43,-3.88,,,,-5.22,-3.64
NFBDT,PBDB-T,10.1021/jacs.7b01170,0.868,17.85,67.2,10.42,703,731,1.56,-5.4,-3.83,,,,-5.33,-2.92
NFTI,PBDB-T,10.1039/C7QM00585G,0.902,17.82,56,9.02,,,,-5.46,-3.77,,,,,
NIBT,PBDB-T,10.1021/acs.chemmater.9b03329,1.04,17.34,60,10.8,628,660,1.63,-5.38,-3.68,,,,-5.18,-3.37
NIDT,PBDB-T,10.1021/acs.chemmater.9b03329,1.14,13.28,66,10,599,618,1.85,-5.34,-3.58,,,,,
NITI-SeS,PBDB-T,10.1246/bcsj.20200322,0.81,19.11,61,9.52,,,,-5.76,-3.83,,,,,
NITI-Sse,PBDB-T,10.1246/bcsj.20200322,0.91,19.41,70,12.49,,,,-5.76,-3.81,,,,-5.33,-3.53
NITT-BF,PBDB-TF,10.1016/j.cej.2021.130618,0.94,18.08,72.38,12.3,675,713,1.52,-5.75,-4.15,,,,-5.45,-3.65
NITT-ThCl,PBDB-TF,10.1016/j.cej.2021.130618,0.97,16.3,60.62,9.58,692,705,1.55,-5.71,-4.1,,,,,
NITV,PBDB-T,10.1021/acs.chemmater.9b03329,1.12,8.08,53,4.8,567,548,1.78,-5.4,-3.62,,,,,
NNBDT,PBDB-TF,10.1002/adma.201804723,0.86,20.07,69.7,12.03,,,,,,,,,,
NNBDT,PBDB-T,10.1002/aenm.201800424,0.88,18.63,71.7,11.7,,,,-5.46,-3.94,,,,-5.26,-3.63
NOBDT,PTB7-Th,10.1002/adma.201707508,0.77,19.16,70,10.26,744,781,1.39,-5.26,-3.89,,,,,
NoCA-1,J52,10.1002/anie.202106753,0.769,24.69,61.69,11.71,764,822,,-5.45,-3.88,,,,,
NoCA-5,J52,10.1002/anie.202106753,0.814,26.02,69.96,14.82,769,818,,-5.43,-3.83,,,,,
NOCIC,PBDB-TF,10.1016/j.solmat.2021.111046,0.907,16.22,67,9.89,,,,,,,,,,
NTIC,PBDB-T,10.1039/C7TA05809H,0.935,13.55,68.1,8.63,650,694,1.67,-5.58,-3.76,,,,-5.33,-2.92
NTIC-F,PBDB-T,10.1039/C7TA05809H,0.812,15.04,66.3,8.1,657,712,1.66,-5.52,-3.77,,,,,
NTIC-Me,PBDB-T,10.1039/C7TA05809H,0.963,13.03,66.2,8.3,647,670,1.74,-5.53,-3.73,,,,,
NTIC-OMe,PBDB-T,10.1039/C7TA05809H,0.965,13.52,66,8.61,651,675,1.71,-5.53,-3.7,,,,,
NTTI,PBDB-T,10.1002/solr.202000286,0.8,17.08,63,8.61,,783,1.45,-5.38,-3.83,,,,,
NTz-Np,P3HT,10.1002/adfm.201504153,0.9,5.18,60,2.81,533,,1.73,-6.01,-3.6,,,,-4.72,-2.81
NTz-Teh-FA,P3HT,10.1038/s41427-018-0088-4,0.95,2.13,53,1.06,509,,2.13,-6.06,-3.38,,,,,
o-4TBC-2F,PBDB-T,10.1002/anie.202010856,0.76,20.48,65.7,10.26,671,825,1.34,-5.63,-4,,,,,
o-BTP-C6Ph,PTQ10,10.1039/D0EE03506H,0.924,22.8,76.2,16,730,790,1.39,-5.53,-3.76,,,,,
OCH3-2F,PBDB-T,10.1021/acsami.1c09597,0.74,16.66,64.63,8.01,752,796,1.33,-5.4,-4.04,,,,,
o-DOC6-2F,PBDB-T,10.1021/acsami.0c13993,0.89,18.58,71.84,11.87,712,744,1.51,-5.49,-3.83,,,,-5.23,-3.42
OF-PCIC,PBDB-TF,10.1039/C8TA03753A,0.91,13.76,73.37,9.09,660,702,1.59,-5.66,-3.86,,,,,
O-IDTBCN,PTB7-Th,10.1002/aenm.202100839,0.74,17.7,70,9.1,,712,,-5.8,-3.8,,,,,
O-IDTBR,PfBTAZ,10.1002/aenm.201702427,1,11.7,64,7.5,,,,,,,,,,
O-IDTBR,PfBTAZS,10.1002/aenm.201702427,0.98,16.4,62,10.1,,,,,,,,,,
O-IDTBR,PTB7-Th,10.1002/aenm.201903800,1.02,14.2,56,8.7,,,,,,,,,,
O-IDTBR,PTB7-Th,10.1002/aenm.202100839,1.07,13.35,61,8.7,,,,-5.67,-3.55,,,,-5.05,-3.4
O-IDTBR,PvBDTTAZ,10.1021/jacs.7b01606,1.08,16.26,63.6,11.6,,,,,,,,,-5.47,-3.42
O-IDTBR,P3HT,10.1038/ncomms11585,0.72,13.9,60,6.3,650,673,1.68,-5.58,-3.9,,,,,
O-IDTBR,BDT3TR,10.1039/C6TA06367E,1.06,12.1,55,7.09,,,,-5.46,-3.89,,,,-5.1,-3.28
O-IDTBR,DR3TBDTT,10.1039/C8TA04665D,1.15,11.06,50,6.36,,,,-5.51,-3.88,,,,-5.02,-3.27
o-IO1,PTB7-Th,10.1021/acsmaterialslett.9b00512,0.74,26.3,67,13.1,790,850,1.28,-5.44,-4.15,,705,1.58,-5.2,-3.46
o-IO2,PTB7-Th,10.1021/acsmaterialslett.9b00512,0.68,21.8,63,9.3,835,920,1.2,-5.41,-4.21,,,,,
O-NTIC,PBDB-T,10.1002/solr.201800053,0.978,13.31,69.9,9.1,650,671,1.7,-5.51,-3.67,,,,,
O-NTNC,PBDB-T,10.1002/solr.201800053,0.942,15.98,73.4,11,679,706,1.64,-5.54,-3.78,,,,-5.33,-2.92
O-NTNC,PDCBT,10.1002/solr.201800053,0.94,15.51,66.3,10,,,,,,,,,-5.31,-3
ORCN,P3HT,10.1002/aenm.201803012,0.87,11.5,62.3,6.4,666,676,1.64,-5.37,-3.56,,,,,
P(NDI2OD-FT2),PBDTT-TT-F,10.1002/adma.201501214,0.81,12.32,63,6.29,,630,1.59,-5.5,-3.91,,,,-5.3,-3.6
P(NDI2OD-T2),PBDTT-TT-F,10.1002/adma.201501214,0.79,11.92,56,5.28,,704,1.44,-5.49,-4.05,,,,,
P(NDIDT-FT2),PBDTT-TT-F,10.1002/adma.201501214,0.81,13.53,62,6.71,,,,,,,,,,
P(NDIHD-FT2),PBDTT-TT-F,10.1002/adma.201501214,0.8,11.2,55,4.93,,,,,,,,,,
PBI,P3HT,10.1016/j.orgel.2012.07.002,0.78,7.4,55,3.17,,,,-5.8,-3.6,,,,,
p-BTP-C6Ph,PTQ10,10.1039/D0EE03506H,0.888,24.7,77.9,17.1,728,805,1.36,-5.59,-3.85,,,,,
PD-dIDTC6,PBDB-TF,10.1016/j.synthmet.2021.116838,0.82,15.17,56,7.78,681,681,1.65,-5.51,-3.89,,,,-5.5,-3.61
p-DOC6-2F,PBDB-T,10.1021/acsami.0c13993,0.81,18.44,62.06,9.23,742,821,1.37,-5.47,-3.79,,,,,
PF2-DTC,PBDB-TF,10.1002/solr.202000142,0.986,13.82,65.7,8.95,,,,-5.76,-3.9,,,,,
PF2-DTC,PBDB-TF,10.1016/j.joule.2020.01.014,0.97,14.11,60.8,8.31,,,,-5.76,-3.9,,,,-5.5,-3.61
PF2-DTGe,PBDB-TF,10.1016/j.joule.2020.01.014,0.97,14.48,57.6,8.09,,,,-5.78,-3.9,,,,,
PF2-DTSi,PBDB-TF,10.1016/j.joule.2020.01.014,0.99,16.48,66.1,10.77,,,,-5.74,-3.87,,,,,
PF3-DTC,PBDB-TF,10.1002/solr.202000142,0.973,13.77,58.5,7.83,,,,-5.73,-3.91,,,,-5.5,-3.61
PF3-DTCO,PBDB-TF,10.1002/solr.202000142,0.943,15.75,68.2,10.13,,,,-5.71,-3.95,,,,,
PFA1,PTzBI-oF,10.1021/acsenergylett.0c02053,0.87,23.96,72.67,15.11,,815,1.41,-5.74,-3.84,,,,-5.25,-3.25
PFBDT-IDTIC,PBDB-T,10.1021/acsenergylett.8b02114,0.83,14.05,66,8,,,,-5.78,-3.85,,,,-5.23,-3.18
PFBDT-IDTIC,PBDB-TF,10.1021/acsenergylett.8b02114,0.96,15.27,68,10,,,,,,,,,-5.54,-3.65
Ph-DTDP-IC,PBDB-T,10.1002/adfm.201705927,0.78,14.58,67.91,7.73,673,701,1.61,-5.53,-4,,,,-5.21,-3.41
Ph-DTDP-TIC,PBDB-T,10.1002/adfm.201705927,0.89,17.31,59.61,9.21,707,740,1.46,-5.33,-3.89,,,,,
Ph-DTDP-TTIC,PBDB-T,10.1002/adfm.201705927,0.9,10.58,42.13,4.02,695,703,1.45,-5.28,-3.92,,,,,
PhITBD,PTB7-Th,10.1039/C7TC00706J,0.76,14.07,62,6.57,606,656,1.18,-5.5,-3.78,,,,,
PI-4F,PBDB-TF,10.1002/cjoc.202100323,0.84,13.2,64,7.1,665,703,1.65,-5.8,-4.06,,,,,
PI-BT,P3HT,10.1021/cm203111k,0.96,4.7,56,2.54,,448,2.34,-5.8,-3.3,,,,,
PIDIC2T,PBDB-T,10.1021/acsami.0c08442,0.8,9.07,41,2.97,691,726,1.54,-5.65,-3.85,,,,-5.33,-2.92
PIDIC2T,PBDB-TF,10.1021/acsami.0c08442,0.9,10.47,52,4.89,,,,,,,,,-5.5,-3.61
PIDIC2T2Cl,PBDB-T,10.1021/acsami.0c08442,0.82,10.75,60,5.34,697,706,1.55,-5.67,-3.87,,,,,
PIDIC2T2Cl,PBDB-TF,10.1021/acsami.0c08442,0.9,12.66,62,7.11,,,,,,,,,,
PIDIC2T2F,PBDB-T,10.1021/acsami.0c08442,0.85,9,53,4.07,701,711,1.55,-5.73,-3.89,,,,,
PIDIC2T2F,PBDB-TF,10.1021/acsami.0c08442,0.9,12.81,43,4.96,,,,,,,,,,
p-IDTIDT-IC,PTB7-Th,10.1039/C8TA11972D,0.94,14.49,47.5,6.48,696,721,1.53,-5.42,-3.82,,,,,
P-IDTzR,P3HT,10.1039/C8QM00461G,1.02,9,54.6,5.01,571,592,1.89,-5.31,-3.42,,,,,
p-INPOIC,PBDB-T,10.1002/adfm.201903269,0.835,18.4,63.2,9.71,779,823,1.37,-5.38,-4,,,,,
p-IO1,PTB7-Th,10.1021/acsmaterialslett.9b00512,0.78,22.3,62,10.8,766,815,1.34,-5.46,-4.13,,,,,
p-IO2,PTB7-Th,10.1021/acsmaterialslett.9b00512,0.7,23,67,10.8,808,880,1.24,-5.44,-4.19,,,,,
PIST-4F,PBDB-TF,10.1002/cjoc.202100323,0.87,21.9,72,13.8,710,748,1.46,-5.65,-4.03,,,,-5.5,-3.63
PJ1-H,PBDB-T,10.1016/j.nanoen.2020.104718,0.9,22.3,70,14.4,767,798,1.41,-5.64,-3.82,,,,-5.38,-3.5
PMI-F-PMI,P3HT,10.1016/j.orgel.2015.03.017,0.98,5.61,42,2.3,533,514,2.2,-5.74,-3.54,,,,-4.76,-2.74
PN1,PBDB-TF,10.1039/C9TA04611A,1,15.2,69,10.5,,,,-5.71,-3.85,,,,-5.5,-3.61
PT2IC-4Cl,PBDB-TF,10.1021/acsami.1c02652,0.834,20.7,72.37,12.51,776,865,1.31,-5.6,-3.9,,,,-5.52,-3.55
PTB4Cl,PBDB-TF,10.1002/anie.202101867,0.93,19.01,72.17,12.76,657,760,1.58,-5.91,-3.93,,,,,
PTB4F,PBDB-TF,10.1002/anie.202101867,0.94,14.55,51.48,7.04,645,729,1.65,-5.87,-3.89,,,,,
PTIC,PBDB-TF,10.1002/anie.202101867,0.93,16.23,67.16,10.14,,,,,,,,,,
PTIC,PBDB-TF,10.1038/s41467-019-10098-z,0.93,16.73,66,10.27,650,747,1.53,-5.59,-3.81,,,,,
PTIC-4Cl,PBDB-TF,10.1021/acsami.1c02652,0.86,23.3,73.89,14.81,765,840,1.35,-5.68,-3.91,,,,,
PTICH,PBDB-TF,10.1038/s41467-019-10098-z,0.92,8.22,54,4.08,637,709,1.6,-5.62,-3.8,,,,,
PTICO,PBDB-TF,10.1038/s41467-019-10098-z,1.01,12.6,52,6.62,647,746,1.56,-5.48,-3.66,,,,,
PT-IDTIC,PBDB-TF,10.1002/aenm.202001408,0.94,15.48,66,10,,,,-5.79,-3.87,,,,-5.54,-3.65
PT-IDTTIC,PBDB-TF,10.1002/aenm.202001408,0.97,17.96,67,12.06,,,,-5.59,-3.86,,,,,
PY-1,P1_mishra,10.1039/C7TA04703G,0.83,10.53,56,4.89,648,750,1.4,-5.27,-4,,,,,
Py-2F,PBDB-T,10.1016/j.synthmet.2021.116904,0.92,15.44,68.22,9.73,606,645,1.66,-5.85,-3.82,,,,,
Py-2H,PBDB-T,10.1016/j.synthmet.2021.116904,1.01,10.64,47.81,5.13,594,626,1.69,-5.78,-3.74,,,,-5.42,-3.55
PY5-2TZ,PBDB-T,10.1021/acs.chemmater.1c02302,0.894,20.82,68.4,12.73,736,775,1.44,-5.7,-3.76,,,,-5.42,-3.5
PY5-BT,PBDB-T,10.1021/acs.chemmater.1c02302,0.891,15.05,60.4,8.12,737,778,1.43,-5.73,-3.78,,,,,
PY5-BTZ,PBDB-T,10.1021/acs.chemmater.1c02302,0.922,22.61,71.1,14.82,756,775,1.44,-5.67,-3.72,,,,,
PY5-PZ,PBDB-T,10.1021/acs.chemmater.1c02302,0.893,19.91,68.2,12.1,735,772,1.45,-5.71,-3.75,,,,,
PY5T,PTzBI-oF,10.1021/acsenergylett.0c02053,0.91,9.91,44.42,4.01,,792,,-5.71,-3.76,,,,,
PYTT-1,PBDB-T,10.1021/acs.chemmater.0c04253,0.93,20.66,70.35,13.54,,,1.49,-5.66,-3.82,,,,-5.33,-3.48
PYTT-2,PBDB-T,10.1021/acs.chemmater.0c04253,0.91,22,71.53,14.32,,,1.49,-5.73,-3.83,,,,,
PYTT-3,PBDB-T,10.1021/acs.chemmater.0c04253,0.82,21.99,68.47,12.41,,,1.44,-5.76,-3.88,,,,,
PZ1,PBDB-T,10.1002/ange.201707678,0.83,16.05,68.99,9.19,,,,,,,,,,
PZ1,PBDB-TF,10.1007/s11426-019-9466-6,0.96,17.1,68.2,11.2,,,,-5.74,-3.86,,,,-5.5,-3.61
PZ-dIDTC6,PBDB-TF,10.1016/j.synthmet.2021.116838,0.94,15.49,75,10.91,683,711,1.57,-5.54,-3.85,,,,,
QCIC1,PBDB-T,10.1002/cssc.202100689,0.822,18.81,55.5,8.58,680,718,1.41,-5.52,-3.8,,,,-5.33,-3.53
QCIC3,PBDB-T,10.1002/cssc.202100689,0.816,19.39,66.9,10.55,689,739,1.38,-5.52,-3.89,,,,,
QOC6-4Cl,PBDB-T,10.1021/acsami.1c11412,0.782,22.91,69.01,12.32,733,796,1.45,-5.62,-3.87,,,,,
QOC6-4H,PBDB-T,10.1021/acsami.1c11412,0.862,16.19,56.64,7.9,713,763,1.49,-5.59,-3.8,,,,,
Qx1,P3HT,10.1021/acsami.8b00216,1,6.02,67,4.03,610,629,1.74,-5.42,-3.6,,,,-5,-3.1
Qx1b,P3HT,10.1021/acsami.8b00216,0.95,7.34,69,4.81,631,660,1.68,-5.35,-3.66,,,,,
Qx3,P3HT,10.1007/s11426-019-9618-7,0.89,5.57,68,3.37,613,654,1.64,-5.38,-3.56,,,,-5,-3.1
Qx3b,P3HT,10.1007/s11426-019-9618-7,0.75,12.87,66,6.37,642,706,1.59,-5.27,-3.63,,,,,
Qx3c,P3HT,10.1007/s11426-019-9618-7,0.75,0.14,30,0.03,636,686,1.6,-5.3,-3.59,,,,,
R10-4Cl,PBDB-T,10.1021/acs.chemmater.8b05047,0.85,18.9,66.6,10.7,715,754,1.43,-5.35,-3.91,,,,-5.21,-3.41
R12-4Cl,PBDB-T,10.1021/acs.chemmater.8b05047,0.75,18.5,66.9,9.3,721,766,1.35,-5.26,-3.95,,,,,
SCH3-2F,PBDB-T,10.1021/acsami.1c09597,0.67,15.38,64.94,6.67,720,759,1.41,-5.5,-4.06,,,,,
SeCT-IC,J71,10.1021/acsami.1c12028,0.889,18.09,67.69,10.89,710,745,1.54,-5.53,-3.92,,,,,
SeTIC,PBDB-TF,10.1021/acsenergylett.8b01808,0.95,15.45,51,7.46,688,712,1.58,-5.55,-3.9,,,,,
SeTIC4Cl,PBDB-TF,10.1021/acsenergylett.8b01808,0.78,22.92,75,13.32,716,761,1.44,-5.65,-4.08,,,,-5.45,-3.65
SFBRCN,PTB7,10.1002/adma.201606054,0.85,13.85,60.7,7.34,,,,,,,,,-5.21,-3.36
SFBRCN,PTB7-Th,10.1002/adma.201606054,0.9,17.25,65.2,10.12,,505,,-5.93,-3.86,,,,-5.27,-3.55
SFBRCN,PBDB-T,10.1002/adma.201704271,0.97,13.65,70.9,9.39,,,,-5.93,-3.86,,,,-5.33,-2.92
